DATE,spindx
19660113,93.36
19660114,93.50
19660117,93.77
19660118,93.95
19660119,93.69
19660120,93.36
19660121,93.47
19660124,93.71
19660125,93.85
19660126,93.70
19660127,93.67
19660128,93.31
19660131,92.88
19660201,92.16
19660202,92.53
19660203,92.65
19660204,93.26
19660207,93.59
19660208,93.55
19660209,94.06
19660210,93.83
19660211,93.81
19660214,93.65
19660215,93.17
19660216,93.16
19660217,92.66
19660218,92.41
19660221,91.87
19660223,91.48
19660224,90.89
19660225,91.14
19660228,91.22
19660301,90.06
19660302,89.15
19660303,89.47
19660304,89.24
19660307,88.04
19660308,88.18
19660309,88.96
19660310,88.96
19660311,88.85
19660314,87.85
19660315,87.35
19660316,87.86
19660317,88.17
19660318,88.53
19660321,89.20
19660322,89.46
19660323,89.13
19660324,89.29
19660325,89.54
19660328,89.62
19660329,89.27
19660330,88.78
19660331,89.23
19660401,89.94
19660404,90.76
19660405,91.31
19660406,91.56
19660407,91.76
19660411,91.79
19660412,91.45
19660413,91.54
19660414,91.87
19660415,91.99
19660418,91.58
19660419,91.57
19660420,92.08
19660421,92.42
19660422,92.27
19660425,92.08
19660426,91.99
19660427,91.76
19660428,91.13
19660429,91.06
19660502,90.90
19660503,89.85
19660504,89.39
19660505,87.93
19660506,87.84
19660509,86.32
19660510,87.08
19660511,87.23
19660512,86.23
19660513,85.47
19660516,84.41
19660517,83.63
19660518,85.12
19660519,85.02
19660520,85.43
19660523,86.20
19660524,86.77
19660525,87.07
19660526,87.07
19660527,87.33
19660531,86.13
19660601,86.10
19660602,85.96
19660603,86.06
19660606,85.42
19660607,84.83
19660608,84.93
19660609,85.50
19660610,86.44
19660613,86.83
19660614,87.07
19660615,86.73
19660616,86.47
19660617,86.51
19660620,86.48
19660621,86.71
19660622,86.85
19660623,86.50
19660624,86.58
19660627,86.08
19660628,85.67
19660629,84.86
19660630,84.74
19660701,85.61
19660705,85.82
19660706,87.06
19660707,87.38
19660708,87.61
19660711,87.45
19660712,86.88
19660713,86.30
19660714,86.82
19660715,87.08
19660718,86.99
19660719,86.33
19660720,85.51
19660721,85.52
19660722,85.41
19660725,83.83
19660726,83.70
19660727,84.10
19660728,83.77
19660729,83.60
19660801,82.31
19660802,82.33
19660803,83.15
19660804,83.93
19660805,84.00
19660808,83.75
19660809,83.49
19660810,83.11
19660811,83.02
19660812,83.17
19660815,82.74
19660816,81.63
19660817,81.18
19660818,80.16
19660819,79.62
19660822,78.24
19660823,78.11
19660824,79.07
19660825,78.06
19660826,76.41
19660829,74.53
19660830,75.86
19660831,77.10
19660901,77.70
19660902,77.42
19660906,76.96
19660907,76.34
19660908,76.05
19660909,76.29
19660912,77.91
19660913,78.32
19660914,79.13
19660915,80.08
19660916,79.99
19660919,79.59
19660920,79.04
19660921,77.71
19660922,77.94
19660923,77.67
19660926,77.86
19660927,78.10
19660928,77.11
19660929,76.31
19660930,76.56
19661003,74.90
19661004,75.10
19661005,74.69
19661006,74.05
19661007,73.20
19661010,74.53
19661011,74.91
19661012,77.04
19661013,76.89
19661014,76.60
19661017,77.47
19661018,78.68
19661019,78.05
19661020,77.84
19661021,78.19
19661024,78.42
19661025,78.90
19661026,79.58
19661027,80.23
19661028,80.24
19661031,80.20
19661101,80.81
19661102,80.88
19661103,80.56
19661104,80.81
19661107,80.73
19661109,81.38
19661110,81.89
19661111,81.94
19661114,81.37
19661115,81.69
19661116,82.37
19661117,81.80
19661118,81.26
19661121,80.09
19661122,79.67
19661123,80.21
19661125,80.85
19661128,80.71
19661129,80.42
19661130,80.45
19661201,80.08
19661202,80.13
19661205,80.24
19661206,80.84
19661207,81.72
19661208,82.05
19661209,82.14
19661212,83.00
19661213,82.73
19661214,82.64
19661215,81.64
19661216,81.58
19661219,81.27
19661220,80.96
19661221,81.38
19661222,81.69
19661223,81.47
19661227,81.00
19661228,80.61
19661229,80.37
19661230,80.33
19670103,80.38
19670104,80.55
19670105,81.60
19670106,82.18
19670109,82.81
19670110,82.81
19670111,83.47
19670112,83.91
19670113,84.53
19670116,84.31
19670117,85.24
19670118,85.79
19670119,85.82
19670120,86.07
19670123,86.39
19670124,86.51
19670125,85.85
19670126,85.81
19670127,86.16
19670130,86.66
19670131,86.61
19670201,86.43
19670202,86.73
19670203,87.36
19670206,87.18
19670207,86.95
19670208,87.72
19670209,87.36
19670210,87.49
19670213,87.58
19670214,88.17
19670215,88.27
19670216,87.86
19670217,87.89
19670220,87.40
19670221,87.34
19670223,87.45
19670224,87.41
19670227,86.46
19670228,86.78
19670301,87.68
19670302,88.16
19670303,88.29
19670306,88.10
19670307,88.16
19670308,88.27
19670309,88.53
19670310,88.89
19670313,88.43
19670314,88.35
19670315,89.19
19670316,90.09
19670317,90.25
19670320,90.20
19670321,90.00
19670322,90.25
19670323,90.94
19670327,90.87
19670328,90.91
19670329,90.73
19670330,90.70
19670331,90.20
19670403,89.24
19670404,89.22
19670405,89.79
19670406,89.94
19670407,89.36
19670410,88.24
19670411,88.88
19670412,88.78
19670413,89.46
19670414,90.43
19670417,91.07
19670418,91.86
19670419,91.94
19670420,92.11
19670421,92.30
19670424,92.62
19670425,93.11
19670426,93.02
19670427,93.81
19670428,94.01
19670501,93.84
19670502,93.67
19670503,93.91
19670504,94.32
19670505,94.44
19670508,94.58
19670509,93.60
19670510,93.35
19670511,93.75
19670512,93.48
19670515,92.71
19670516,93.14
19670517,92.78
19670518,92.53
19670519,92.07
19670522,91.67
19670523,91.23
19670524,90.18
19670525,91.19
19670526,90.98
19670529,90.49
19670531,89.08
19670601,90.23
19670602,89.79
19670605,88.43
19670606,90.23
19670607,90.91
19670608,91.40
19670609,91.56
19670612,92.04
19670613,92.62
19670614,92.40
19670615,92.49
19670616,92.54
19670619,92.51
19670620,92.44
19670621,92.20
19670622,91.97
19670623,92.00
19670626,91.64
19670627,91.30
19670628,91.31
19670629,90.85
19670630,90.64
19670703,90.91
19670705,91.36
19670706,91.32
19670707,91.69
19670710,92.05
19670711,92.48
19670712,92.40
19670713,92.42
19670714,92.74
19670717,92.75
19670718,93.50
19670719,93.65
19670720,93.85
19670721,94.04
19670724,93.73
19670725,93.74
19670726,94.06
19670727,94.35
19670728,94.49
19670731,94.75
19670801,95.37
19670802,95.78
19670803,95.66
19670804,95.83
19670807,95.58
19670808,95.69
19670809,95.78
19670810,95.53
19670811,95.15
19670814,94.64
19670815,94.77
19670816,94.55
19670817,94.63
19670818,94.78
19670821,94.25
19670822,93.74
19670823,93.61
19670824,93.09
19670825,92.70
19670828,92.64
19670829,92.88
19670830,93.07
19670831,93.64
19670901,93.68
19670905,94.21
19670906,94.39
19670907,94.33
19670908,94.36
19670911,94.54
19670912,94.99
19670913,95.99
19670914,96.20
19670915,96.27
19670918,96.53
19670919,96.17
19670920,96.13
19670921,96.75
19670922,97.00
19670925,97.59
19670926,96.76
19670927,96.79
19670928,96.79
19670929,96.71
19671002,96.32
19671003,96.65
19671004,96.43
19671005,96.67
19671006,97.26
19671009,97.51
19671010,96.84
19671011,96.37
19671012,95.75
19671013,96.00
19671016,95.25
19671017,95.00
19671018,95.25
19671019,95.43
19671020,95.38
19671023,94.96
19671024,94.42
19671025,94.52
19671026,94.94
19671027,94.96
19671030,94.79
19671031,93.90
19671101,92.71
19671102,92.34
19671103,91.78
19671106,91.48
19671108,91.14
19671109,91.59
19671110,92.21
19671113,91.97
19671114,91.39
19671115,91.76
19671116,92.60
19671117,92.82
19671120,91.65
19671121,93.10
19671122,93.65
19671124,93.90
19671127,94.17
19671128,94.47
19671129,94.47
19671130,94.00
19671201,94.50
19671204,95.10
19671205,95.23
19671206,95.64
19671207,95.53
19671208,95.42
19671211,95.12
19671212,95.01
19671213,95.34
19671214,95.47
19671215,95.03
19671218,94.77
19671219,94.63
19671220,95.15
19671221,95.38
19671222,95.20
19671226,95.26
19671227,95.91
19671228,95.89
19671229,96.47
19680102,96.11
19680103,95.67
19680104,95.36
19680105,95.94
19680108,96.62
19680109,96.50
19680110,96.52
19680111,96.62
19680112,96.72
19680115,96.42
19680116,95.82
19680117,95.64
19680118,95.56
19680119,95.24
19680122,94.03
19680123,93.66
19680124,93.17
19680125,93.30
19680126,93.45
19680129,93.35
19680130,92.89
19680131,92.24
19680201,92.56
19680202,92.27
19680205,91.87
19680206,91.90
19680207,92.06
19680208,90.90
19680209,89.86
19680213,89.07
19680214,90.14
19680215,90.30
19680216,89.96
19680219,90.31
19680220,90.83
19680221,91.24
19680223,90.89
19680226,90.18
19680227,90.53
19680228,90.08
19680229,89.36
19680301,89.11
19680304,87.92
19680305,87.72
19680306,89.26
19680307,89.10
19680308,89.03
19680311,90.13
19680312,90.23
19680313,90.03
19680314,88.32
19680315,89.10
19680318,89.59
19680319,88.99
19680320,88.98
19680321,88.33
19680322,88.42
19680325,88.33
19680326,88.93
19680327,89.66
19680328,89.57
19680329,90.20
19680401,92.48
19680402,92.64
19680403,93.47
19680404,93.84
19680405,93.29
19680408,94.95
19680410,95.67
19680411,96.53
19680415,96.59
19680416,96.62
19680417,96.81
19680418,97.08
19680419,95.85
19680422,95.32
19680423,96.48
19680424,96.62
19680425,96.92
19680426,97.21
19680429,97.46
19680430,97.59
19680501,97.97
19680502,98.59
19680503,98.66
19680506,98.35
19680507,98.90
19680508,98.91
19680509,98.39
19680510,98.50
19680513,98.19
19680514,98.12
19680515,98.07
19680516,97.60
19680517,96.90
19680520,96.45
19680521,96.93
19680522,97.18
19680523,96.97
19680524,97.15
19680527,96.99
19680528,97.62
19680529,97.92
19680531,98.68
19680603,99.99
19680604,100.38
19680605,99.89
19680606,100.65
19680607,101.27
19680610,101.41
19680611,101.66
19680613,101.25
19680614,101.13
19680617,100.13
19680618,99.99
19680620,100.51
19680621,100.66
19680624,100.39
19680625,100.08
19680627,99.98
19680628,99.58
19680701,99.40
19680702,99.74
19680703,100.91
19680708,101.94
19680709,102.23
19680711,102.39
19680712,102.34
19680715,102.26
19680716,101.70
19680718,101.44
19680719,100.46
19680722,99.33
19680723,99.21
19680725,97.94
19680726,98.34
19680729,97.65
19680730,97.74
